angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.04,"(110, 0, 485, 485)",0.0,0.02,0.0,0.83,0.11,0.0
0.02,"(104, -5, 485, 485)",0.0,0.01,0.0,0.91,0.05,0.0
0.01,"(139, 0, 472, 472)",0.0,0.01,0.0,0.89,0.09,0.0
0.02,"(139, 0, 471, 471)",0.0,0.01,0.0,0.89,0.08,0.0
0.05,"(110, -5, 490, 490)",0.0,0.01,0.0,0.87,0.07,0.0
0.03,"(102, 0, 491, 491)",0.0,0.01,0.0,0.83,0.13,0.0
0.04,"(107, -4, 490, 490)",0.0,0.01,0.0,0.88,0.07,0.0
0.03,"(107, -7, 492, 492)",0.0,0.01,0.0,0.89,0.06,0.0
0.09,"(99, -5, 499, 499)",0.0,0.02,0.0,0.72,0.17,0.0
0.03,"(108, 0, 482, 482)",0.0,0.02,0.0,0.87,0.07,0.01
0.04,"(93, 2, 497, 497)",0.0,0.02,0.0,0.87,0.07,0.0
0.04,"(104, 8, 485, 485)",0.0,0.01,0.0,0.86,0.1,0.0
0.03,"(104, 8, 484, 484)",0.0,0.01,0.0,0.88,0.07,0.0
0.06,"(91, 14, 486, 486)",0.0,0.03,0.0,0.73,0.17,0.0
0.04,"(88, 17, 479, 479)",0.0,0.01,0.0,0.86,0.09,0.0
0.04,"(87, 16, 480, 480)",0.0,0.02,0.0,0.87,0.07,0.0
0.04,"(91, 17, 486, 486)",0.0,0.02,0.0,0.75,0.18,0.0
0.05,"(87, 15, 483, 483)",0.0,0.01,0.0,0.8,0.13,0.0
0.05,"(77, 17, 480, 480)",0.0,0.01,0.0,0.86,0.08,0.0
0.06,"(62, 27, 471, 471)",0.0,0.01,0.0,0.76,0.16,0.0
0.04,"(55, 8, 471, 471)",0.0,0.01,0.0,0.77,0.18,0.0
0.04,"(62, 5, 486, 486)",0.0,0.01,0.0,0.88,0.08,0.0
0.05,"(55, 1, 485, 485)",0.0,0.01,0.0,0.9,0.04,0.0
0.07,"(53, -4, 490, 490)",0.0,0.01,0.0,0.79,0.13,0.0
0.06,"(58, 0, 478, 478)",0.0,0.01,0.0,0.78,0.15,0.0
0.04,"(61, 0, 488, 488)",0.0,0.01,0.0,0.81,0.14,0.0
0.04,"(60, 4, 488, 488)",0.0,0.02,0.0,0.79,0.15,0.0
